Number,Filename,Jaccard
1,1469605712-359900.png,0.64997
2,1469605813-475700.png,0.673684
3,1469605825-490200.png,0.771668
4,1469605827-493100.png,0.535259
5,1469605829-495800.png,0.573649
6,1469605833-500100.png,0.868421
7,1469605842-512600.png,0.607752
8,1469605847-518100.png,0.740577
9,1469605851-523200.png,0.617021
10,1469605858-533000.png,0.776149
11,1469605869-546200.png,0.51782
12,1469605871-549300.png,0.880334
13,1469605887-570300.png,0.636678
14,1469605891-575200.png,0.594596
15,1469605894-578900.png,0.842331
16,1469605912-602300.png,0.743511
17,1469605978-685800.png,0.629446
18,1469605985-695100.png,0.553457
19,1469605991-702700.png,0.651316
20,1469606036-759400.png,0.692663
21,1469606037-760800.png,0.604253
22,1469606043-768300.png,0.528918
23,1469606050-776600.png,0.559304
24,1469606052-779700.png,0.504414
25,1469606065-796400.png,0.569077
26,1469606077-811600.png,0.634502
27,1469606085-821100.png,0.693952
28,1469606104-846100.png,0.514291
29,1469606118-863100.png,0.511813
30,1469606122-868200.png,0.51469
31,1469606137-887000.png,0.584038
32,1469606138-888700.png,0.635622
33,1469606165-922400.png,0.575414
34,1469606166-923900.png,0.522654
35,1469606177-936500.png,0.683023
36,1469606178-938100.png,0.677922
37,1469606179-939700.png,0.545916
38,1469606180-941300.png,0.620937
39,1469606183-944400.png,0.508485
40,1469606215-985500.png,0.553952
41,1469606216-986800.png,0.600816
42,1469606229-1002800.png,0.571398
43,1469606231-1004800.png,0.610704
44,1469606235-1010700.png,0.626969
45,1469606245-1023000.png,0.523589
46,1469606247-1025700.png,0.51006
47,1469606249-1027900.png,0.535238
48,1469606251-1030600.png,0.61399
49,1469606256-1037100.png,0.525193
50,1469606284-1072200.png,0.569549
51,1469606299-1090600.png,0.546797
52,1469606300-1092600.png,0.509359
53,1469606314-1110300.png,0.615385
54,1469606334-1135500.png,0.641026
55,1469606338-1139600.png,0.650208
56,1469606341-1144600.png,0.544651
57,1469606343-1145900.png,0.590858
58,1469606344-1147400.png,0.596608
59,1469606370-1179900.png,0.753241
60,1469606370-1180700.png,0.569792
61,1469606372-1182200.png,0.653549
62,1469606373-1183700.png,0.541696
63,1469606383-1196900.png,0.586382
64,1469606384-1197700.png,0.512929
65,1469606386-1199700.png,0.701786
66,1469606387-1201900.png,0.584318
67,1469606393-1208500.png,0.79552
68,1469606393-1209300.png,0.638037
69,1469606394-1210100.png,0.554158
70,1469606395-1211500.png,0.780009
71,1469606396-1212400.png,0.675937
72,1469606399-1216600.png,0.52849
73,1469606402-1220400.png,0.773389
74,1469606403-1222300.png,0.542636
75,1469606404-1223000.png,0.658989
76,1469606405-1223600.png,0.54902
77,1469606406-1224900.png,0.736249
78,1469606420-1242300.png,0.687752
79,1469606420-1243200.png,0.505486
80,1469606426-1249700.png,0.634119
81,1469606436-1263100.png,0.61689
82,1469606437-1264300.png,0.563666
83,1469606445-1273700.png,0.607848
84,1469606446-1275300.png,0.605522
85,1469606447-1276000.png,0.647101
86,1469606448-1277300.png,0.632051
87,1469606450-1279900.png,0.590476
88,1469606450-1280600.png,0.573956
89,1469606452-1282500.png,0.5202
90,1469606467-1300800.png,0.594518
91,1469606467-1301600.png,0.678722
92,1469606468-1302100.png,0.805745
93,1469606469-1303300.png,0.608885
94,1469606488-1327200.png,0.592661
95,1469606495-1334900.png,0.519311
96,1469606496-1337100.png,0.615154
97,1469606537-1388600.png,0.611672
98,1469606543-1396600.png,0.617347
99,1469606545-1397900.png,0.64539
100,1469606545-1398600.png,0.731338
101,1469606549-1403000.png,0.610982
102,1469606554-1409800.png,0.643338
103,1469606555-1410700.png,0.595385
104,1469606565-1423100.png,0.624763
105,1469606566-1424500.png,0.50189
106,1469606567-1426400.png,0.602526
107,1469606568-1427600.png,0.776239
108,1469606576-1437800.png,0.624438
109,1469606579-1441200.png,0.662932
110,1469606581-1443800.png,0.666367
111,1469606582-1444400.png,0.663976
,AVERAGE, 0.61979
